RPC failed: [Errno socket error] [Errno 111] Connection refused
catch_up_rpc: abort
Opened /home/joseph/.AuroraCoin/blk0001.dat
block_tx 93153 436112
block_tx 93153 436113
block_tx 93153 436114
block_tx 93154 436115
block_tx 93154 436116
block_tx 93155 436117
block_tx 93156 436118
block_tx 93157 436119
block_tx 93158 436120
block_tx 93159 436121
block_tx 93160 436122
block_tx 93161 436123
block_tx 93162 436124
block_tx 93163 436125
block_tx 93164 436126
block_tx 93164 436127
block_tx 93165 436128
block_tx 93166 436129
block_tx 93167 436130
block_tx 93168 436131
block_tx 93169 436132
block_tx 93170 436133
block_tx 93171 436134
block_tx 93172 436135
block_tx 93173 436136
block_tx 93174 436137
block_tx 93175 436138
block_tx 93176 436139
block_tx 93177 436140
block_tx 93178 436141
block_tx 93178 436142
block_tx 93179 436143
block_tx 93180 436144
block_tx 93180 436145
block_tx 93181 436146
block_tx 93181 436147
block_tx 93182 436148
block_tx 93182 436149
block_tx 93183 436150
block_tx 93184 436151
block_tx 93185 436152
block_tx 93186 436153
block_tx 93187 436154
block_tx 93187 436155
block_tx 93187 436156
block_tx 93188 436157
block_tx 93188 436158
block_tx 93189 436159
block_tx 93190 436160
block_tx 93191 436161
block_tx 93192 436162
block_tx 93193 436163
block_tx 93193 436164
block_tx 93194 436165
block_tx 93195 436166
block_tx 93196 436167
block_tx 93197 436168
block_tx 93198 436169
block_tx 93199 436170
block_tx 93200 436171
block_tx 93200 436172
block_tx 93200 436173
block_tx 93200 436174
block_tx 93200 436175
block_tx 93201 436176
block_tx 93202 436177
block_tx 93203 436178
block_tx 93203 436179
block_tx 93204 436180
block_tx 93205 436181
block_tx 93206 436182
block_tx 93206 436183
block_tx 93207 436184
block_tx 93208 436185
block_tx 93209 436186
block_tx 93210 436187
block_tx 93211 436188
block_tx 93212 436189
block_tx 93213 436190
block_tx 93214 436191
block_tx 93215 436192
block_tx 93215 436193
block_tx 93216 436194
block_tx 93216 436195
block_tx 93217 436196
block_tx 93218 436197
block_tx 93219 436198
block_tx 93220 436199
block_tx 93221 436200
block_tx 93222 436201
block_tx 93223 436202
block_tx 93224 436203
block_tx 93225 436204
block_tx 93226 436205
block_tx 93227 436206
block_tx 93228 436207
block_tx 93229 436208
block_tx 93230 436209
block_tx 93231 436210
block_tx 93232 436211
block_tx 93233 436212
block_tx 93234 436213
block_tx 93235 436214
block_tx 93235 436215
block_tx 93236 436216
block_tx 93236 436217
block_tx 93236 436218
block_tx 93236 436219
block_tx 93237 436220
block_tx 93238 436221
block_tx 93239 436222
block_tx 93240 436223
block_tx 93241 436224
block_tx 93241 436225
block_tx 93242 436226
block_tx 93243 436227
block_tx 93244 436228
block_tx 93245 436229
block_tx 93246 436230
block_tx 93246 436231
block_tx 93247 436232
block_tx 93248 436233
block_tx 93249 436234
block_tx 93250 436235
block_tx 93251 436236
block_tx 93251 436237
block_tx 93251 436238
block_tx 93251 436239
block_tx 93251 436240
block_tx 93252 436241
block_tx 93253 436242
